,Title,Company,Link
108,"Data Analyst, Office of Campus Infrastructure and Services",HYPERSCAL SOLUTIONS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/others/data-analyst-office-campus-infrastructure-services-singapore-management-university-72d07f55455872a8a88d4fc93b8a8509?source=MCF&event=Search
109,Data Analyst (Marketing),MOHAN MANAGEMENT CONSULTANTS PTE LTD,https://www.mycareersfuture.gov.sg/job/information-technology/data-analyst-ascendion-engineering-solutions-singapore-c560cd0734566388c986c99e38d12e69?source=MCF&event=Search
110,Data Analyst (Bank |Up to $8k),ADECCO PERSONNEL PTE LTD,https://www.mycareersfuture.gov.sg/job/banking-finance/data-analyst-adecco-personnel-0cb70f91375acd77fd8dedd01ab3720f?source=MCF&event=Search
111,Data Engineer,ARGES GLOBAL PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/data-engineer-arges-global-0374f91b5058ec921cf8b2d409de4c4b?source=MCF&event=Search
112,Data Analyst (JD#9997),SCIENTE INTERNATIONAL PTE. LTD.,https://www.mycareersfuture.gov.sg/job/banking-finance/data-analyst-sciente-international-56a0df1f0eda8d86772baf8f918c171e?source=MCF&event=Search
113,Market Insights Analyst,ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,https://www.mycareersfuture.gov.sg/job/information-technology/market-insights-analyst-allegis-group-singapore-0a9ff2291706db2296f255b69ced94a2?source=MCF&event=Search
114,Data Analyst (Contract),TANGSPAC CONSULTING PTE LTD,https://www.mycareersfuture.gov.sg/job/banking-finance/data-analyst-tangspac-consulting-e5ffe894b655c4f674f7dde0485ca7c3?source=MCF&event=Search
115,Data Platform Engineer,BEYONDSOFT TECHNOLOGY (SINGAPORE) PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/data-platform-engineer-beyondsoft-technology-b03d5c28a438a1cd67968afe37e5f50a?source=MCF&event=Search
116,Trade / Regulatory Data Analyst (1 Year Contract / Up to $6000),PERSOLKELLY SINGAPORE PTE. LTD.,https://www.mycareersfuture.gov.sg/job/logistics/trade-regulatory-data-analyst-persolkelly-singapore-3738543d5b46d26bf4199afaec0a0567?source=MCF&event=Search
117,Data Steward - Data Governance / Analyst (1 year contract),LMA RECRUITMENT SINGAPORE PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/data-steward-data-governance-analyst-lma-recruitment-singapore-fd9d8b981c7b2cb665b4542b433d50d9?source=MCF&event=Search
118,"Associate, Investment Services Data (16171)",GIC PRIVATE LIMITED,https://www.mycareersfuture.gov.sg/job/banking-finance/associate-investment-services-data-gic-270477b93952c76376b2f425e6893d92?source=MCF&event=Search
